Service,Method,Path,Group,Назначение,Auth,Input,Output,Где используется
admin_api,GET,/,other,Root,none/implicit,none,200: application/json:none,backend:backend.apps.admin_api.main:root
admin_api,POST,/api/hh-integration/webhooks/{webhook_key},webhooks,Receive Hh Webhook,webhook_key in path,params: webhook_key(path:string),200: application/json:none,backend:backend.apps.hh_integration_webhooks:receive_hh_webhook
admin_api,POST,/api/hh-sync/callback,webhooks,Hh Sync Callback,X-Webhook-Secret header,params: x-webhook-secret(header:schema); body: application/json:SyncCallbackRequest,200: application/json:none,backend:backend.apps.admin_api.hh_sync:hh_sync_callback
admin_api,POST,/api/hh-sync/resolve-callback,webhooks,Hh Resolve Callback,X-Webhook-Secret header,params: x-webhook-secret(header:schema); body: application/json:ResolveCallbackRequest,200: application/json:none,backend:backend.apps.admin_api.hh_sync:hh_resolve_callback
admin_api,POST,/api/slot-assignments/{assignment_id}/confirm,scheduling,Api Confirm Slot Assignment,session cookie or bearer token + CSRF,params: assignment_id(path:integer); body: application/json:SlotAssignmentConfirmRequest,200: application/json:none,backend:backend.apps.admin_api.slot_assignments:api_confirm_slot_assignment
admin_api,POST,/api/slot-assignments/{assignment_id}/request-reschedule,scheduling,Api Request Reschedule,session cookie or bearer token + CSRF,params: assignment_id(path:integer); body: application/json:SlotAssignmentRescheduleRequest,200: application/json:none,backend:backend.apps.admin_api.slot_assignments:api_request_reschedule
admin_api,POST,/api/webapp/booking,tg-webapp,Create Booking,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string); body: application/json:CreateBookingRequest,201: application/json:BookingInfo,backend:backend.apps.admin_api.webapp.routers:create_booking
admin_api,POST,/api/webapp/cancel,tg-webapp,Cancel Booking,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string); body: application/json:CancelBookingRequest,204: no body,backend:backend.apps.admin_api.webapp.routers:cancel_booking
admin_api,GET,/api/webapp/intro_day,tg-webapp,Get Intro Day Info,Telegram initData header (X-Telegram-Init-Data),"params: city_id(query:integer), X-Telegram-Init-Data(header:string)",200: application/json:IntroDayInfo,backend:backend.apps.admin_api.webapp.routers:get_intro_day_info
admin_api,GET,/api/webapp/me,tg-webapp,Get Me,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string),200: application/json:CandidateInfo,backend:backend.apps.admin_api.webapp.routers:get_me
admin_api,GET,/api/webapp/recruiter/candidates/{candidate_id},tg-webapp,Recruiter Candidate Detail,Telegram initData header (X-Telegram-Init-Data),"params: candidate_id(path:integer), X-Telegram-Init-Data(header:string)",200: application/json:CandidateDetailResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_candidate_detail; frontend:frontend/app/src/app/routes/tg-app/candidate.tsx
admin_api,POST,/api/webapp/recruiter/candidates/{candidate_id}/message,tg-webapp,Recruiter Send Message,Telegram initData header (X-Telegram-Init-Data),"params: candidate_id(path:integer), X-Telegram-Init-Data(header:string); body: application/json:MessageRequest",200: application/json:SuccessResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_send_message
admin_api,POST,/api/webapp/recruiter/candidates/{candidate_id}/notes,tg-webapp,Recruiter Save Note,Telegram initData header (X-Telegram-Init-Data),"params: candidate_id(path:integer), X-Telegram-Init-Data(header:string); body: application/json:NoteRequest",200: application/json:SuccessResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_save_note
admin_api,POST,/api/webapp/recruiter/candidates/{candidate_id}/status,tg-webapp,Recruiter Update Status,Telegram initData header (X-Telegram-Init-Data),"params: candidate_id(path:integer), X-Telegram-Init-Data(header:string); body: application/json:StatusUpdateRequest",200: application/json:SuccessResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_update_status; frontend:frontend/app/src/app/routes/tg-app/candidate.tsx
admin_api,GET,/api/webapp/recruiter/dashboard,tg-webapp,Recruiter Dashboard,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string),200: application/json:DashboardResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_dashboard; frontend:frontend/app/src/app/routes/tg-app/index.tsx
admin_api,GET,/api/webapp/recruiter/incoming,tg-webapp,Recruiter Incoming,Telegram initData header (X-Telegram-Init-Data),"params: limit(query:integer), X-Telegram-Init-Data(header:string)",200: application/json:IncomingResponse,backend:backend.apps.admin_api.webapp.recruiter_routers:recruiter_incoming; frontend:frontend/app/src/app/routes/tg-app/incoming.tsx
admin_api,POST,/api/webapp/reschedule,tg-webapp,Reschedule Booking,Telegram initData header (X-Telegram-Init-Data),params: X-Telegram-Init-Data(header:string); body: application/json:RescheduleBookingRequest,200: application/json:BookingInfo,backend:backend.apps.admin_api.webapp.routers:reschedule_booking
admin_api,GET,/api/webapp/slots,tg-webapp,Get Available Slots,Telegram initData header (X-Telegram-Init-Data),"params: city_id(query:schema), from_date(query:schema), to_date(query:schema), X-Telegram-Init-Data(header:string)",200: application/json:array<SlotInfo>,backend:backend.apps.admin_api.webapp.routers:get_available_slots
admin_api,GET,/health,analytics,Health Check,none/implicit,none,200: application/json:none,backend:backend.apps.admin_api.main:health_check
admin_ui,GET,/,other,Index,session cookie or bearer token,none,200: text/html:string,backend:backend.apps.admin_ui.routers.dashboard:index
admin_ui,GET,/.well-known/appspecific/com.chrome.devtools.json,other,devtools_probe,none/implicit,none,unknown,backend:backend.apps.admin_ui.routers.system:devtools_probe
admin_ui,POST,/api/ai/candidates/{candidate_id}/chat/drafts,ai,Api Ai Chat Drafts,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_chat_drafts; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/ai/candidates/{candidate_id}/coach,ai,Api Ai Candidate Coach,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_coach; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/ai/candidates/{candidate_id}/coach/drafts,ai,Api Ai Candidate Coach Drafts,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_coach_drafts; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/ai/candidates/{candidate_id}/coach/refresh,ai,Api Ai Candidate Coach Refresh,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_coach_refresh; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,PUT,/api/ai/candidates/{candidate_id}/hh-resume,ai,Api Ai Candidate Hh Resume Upsert,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_hh_resume_upsert; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/ai/candidates/{candidate_id}/interview-script,ai,Api Ai Candidate Interview Script,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_interview_script; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/ai/candidates/{candidate_id}/interview-script/feedback,ai,Api Ai Candidate Interview Script Feedback,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_interview_script_feedback; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/ai/candidates/{candidate_id}/interview-script/refresh,ai,Api Ai Candidate Interview Script Refresh,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_interview_script_refresh; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/ai/candidates/{candidate_id}/summary,ai,Api Ai Candidate Summary,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_summary; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/ai/candidates/{candidate_id}/summary/refresh,ai,Api Ai Candidate Summary Refresh,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_candidate_summary_refresh; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/ai/chat,ai,Api Ai Agent Chat State,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_agent_chat_state; frontend:frontend/app/src/app/routes/app/copilot.tsx
admin_ui,POST,/api/ai/chat/message,ai,Api Ai Agent Chat Send,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_agent_chat_send; frontend:frontend/app/src/app/routes/app/copilot.tsx
admin_ui,GET,/api/ai/cities/{city_id}/candidates/recommendations,ai,Api Ai City Candidate Recommendations,session cookie or bearer token,"params: city_id(path:integer), limit(query:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_city_candidate_recommendations; frontend:frontend/app/src/app/routes/app/candidates.tsx
admin_ui,POST,/api/ai/cities/{city_id}/candidates/recommendations/refresh,ai,Api Ai City Candidate Recommendations Refresh,session cookie or bearer token + CSRF,params: city_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_city_candidate_recommendations_refresh
admin_ui,POST,/api/ai/dashboard/insights,ai,Api Ai Dashboard Insights,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.ai:api_ai_dashboard_insights
admin_ui,POST,/api/bot/cities/refresh,other,Api Bot Cities Refresh,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_cities_refresh; frontend:frontend/app/src/api/services/system.ts
admin_ui,GET,/api/bot/integration,other,Api Bot Integration Status,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_integration_status; frontend:frontend/app/src/api/services/system.ts
admin_ui,POST,/api/bot/integration,other,Api Bot Integration Update,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_integration_update; frontend:frontend/app/src/api/services/system.ts
admin_ui,DELETE,/api/bot/reminder-jobs/{job_id:path},other,api_cancel_reminder_job,session cookie or bearer token + CSRF,none,unknown,backend:backend.apps.admin_ui.routers.api_misc:api_cancel_reminder_job; frontend:frontend/app/src/app/routes/app/reminder-ops.tsx
admin_ui,GET,/api/bot/reminder-policy,other,Api Bot Reminder Policy,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_reminder_policy; frontend:frontend/app/src/api/services/system.ts
admin_ui,PUT,/api/bot/reminder-policy,other,Api Bot Reminder Policy Update,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_reminder_policy_update; frontend:frontend/app/src/api/services/system.ts
admin_ui,GET,/api/bot/reminders/jobs,other,Api Bot Reminder Jobs,session cookie or bearer token,"params: limit(query:integer), kind(query:schema), slot_id(query:schema), candidate_tg_id(query:schema)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_reminder_jobs; frontend:frontend/app/src/api/services/system.ts
admin_ui,POST,/api/bot/reminders/resync,other,Api Bot Reminder Resync,session cookie or bearer token + CSRF,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_bot_reminder_resync; frontend:frontend/app/src/api/services/system.ts
admin_ui,GET,/api/calendar/events,scheduling,Api Calendar Events,session cookie or bearer token,"params: start(query:string), end(query:string), recruiter_id(query:schema), city_id(query:schema), status(query:schema), include_tasks(query:boolean)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_calendar_events; frontend:frontend/app/src/app/components/Calendar/ScheduleCalendar.tsx
admin_ui,POST,/api/calendar/tasks,scheduling,Api Calendar Task Create,session cookie or bearer token + CSRF,body: application/json:CalendarTaskCreatePayload,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_calendar_task_create; frontend:frontend/app/src/app/routes/app/calendar.tsx
admin_ui,DELETE,/api/calendar/tasks/{task_id},scheduling,Api Calendar Task Delete,session cookie or bearer token + CSRF,params: task_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_calendar_task_delete; frontend:frontend/app/src/app/components/Calendar/ScheduleCalendar.tsx, frontend/app/src/app/routes/app/calendar.tsx"
admin_ui,PATCH,/api/calendar/tasks/{task_id},scheduling,Api Calendar Task Update,session cookie or bearer token + CSRF,params: task_id(path:integer); body: application/json:CalendarTaskUpdatePayload,200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_calendar_task_update; frontend:frontend/app/src/app/components/Calendar/ScheduleCalendar.tsx, frontend/app/src/app/routes/app/calendar.tsx"
admin_ui,GET,/api/candidate-chat/templates,candidates,Api Candidate Chat Templates,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_templates; frontend:frontend/app/src/api/services/messenger.ts
admin_ui,GET,/api/candidate-chat/threads,candidates,Api Candidate Chat Threads,session cookie or bearer token,"params: search(query:schema), unread_only(query:boolean), folder(query:string), limit(query:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_threads; frontend:frontend/app/src/app/routes/__root.tsx
admin_ui,GET,/api/candidate-chat/threads/updates,candidates,Api Candidate Chat Threads Updates,session cookie or bearer token,"params: since(query:schema), timeout(query:integer), search(query:schema), unread_only(query:boolean), folder(query:string), limit(query:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_threads_updates; frontend:frontend/app/src/app/routes/__root.tsx
admin_ui,POST,/api/candidate-chat/threads/{candidate_id}/archive,candidates,Api Candidate Chat Archive,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_archive; frontend:frontend/app/src/api/services/messenger.ts
admin_ui,POST,/api/candidate-chat/threads/{candidate_id}/read,candidates,Api Candidate Chat Mark Read,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_mark_read; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/messenger.ts"
admin_ui,POST,/api/candidate-chat/threads/{candidate_id}/unarchive,candidates,Api Candidate Chat Unarchive,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_unarchive
admin_ui,GET,/api/candidate-chat/threads/{candidate_id}/workspace,candidates,Api Candidate Chat Workspace,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_workspace
admin_ui,PUT,/api/candidate-chat/threads/{candidate_id}/workspace,candidates,Api Candidate Chat Workspace Update,session cookie or bearer token + CSRF,params: candidate_id(path:integer); body: application/json:CandidateChatWorkspacePayload,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_chat_workspace_update
admin_ui,GET,/api/candidates,candidates,Api Candidates List,session cookie or bearer token,"params: page(query:integer), per_page(query:integer), search(query:schema), state(query:schema), status(query:schema), recruiter_id(query:schema), active(query:schema), pipeline(query:schema), date_from(query:schema), date_to(query:schema), calendar_mode(query:schema)",200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_candidates_list; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/slots.ts, frontend/app/src/app/routes/app/candidate-new.tsx, frontend/app/src/app/routes/app/candidates.tsx, frontend/app/src/app/routes/app/detailization.tsx"
admin_ui,POST,/api/candidates,candidates,Api Create Candidate,session cookie or bearer token + CSRF,none,201: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_create_candidate; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/slots.ts, frontend/app/src/app/routes/app/candidate-new.tsx, frontend/app/src/app/routes/app/candidates.tsx, frontend/app/src/app/routes/app/detailization.tsx"
admin_ui,DELETE,/api/candidates/{candidate_id},candidates,Api Candidate Delete,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_candidate_delete; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/app/routes/app/candidates.tsx"
admin_ui,GET,/api/candidates/{candidate_id},candidates,Api Candidate,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_candidate; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/app/routes/app/candidates.tsx"
admin_ui,POST,/api/candidates/{candidate_id}/actions/{action_key},candidates,Api Candidate Action,session cookie or bearer token + CSRF,"params: candidate_id(path:integer), action_key(path:string)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_action; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/candidates/{candidate_id}/assign-recruiter,candidates,Api Assign Candidate Recruiter,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_assign_candidate_recruiter; frontend:frontend/app/src/app/routes/app/incoming.tsx
admin_ui,GET,/api/candidates/{candidate_id}/available-slots,candidates,Api Candidate Available Slots,session cookie or bearer token,"params: candidate_id(path:integer), limit(query:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_available_slots; frontend:frontend/app/src/app/routes/app/incoming.tsx
admin_ui,GET,/api/candidates/{candidate_id}/channel-health,candidates,Api Candidate Channel Health,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_channel_health; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/candidates/{candidate_id}/chat,candidates,Api Chat History,session cookie or bearer token,"params: candidate_id(path:integer), limit(query:integer), before(query:schema)",200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_chat_history; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/messenger.ts"
admin_ui,POST,/api/candidates/{candidate_id}/chat,candidates,Api Chat Send,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_chat_send; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/messenger.ts"
admin_ui,POST,/api/candidates/{candidate_id}/chat/quick-action,candidates,Api Chat Quick Action,session cookie or bearer token + CSRF,params: candidate_id(path:integer); body: application/json:CandidateChatQuickActionPayload,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_chat_quick_action; frontend:frontend/app/src/api/services/messenger.ts
admin_ui,GET,/api/candidates/{candidate_id}/chat/updates,candidates,Api Chat History Updates,session cookie or bearer token,"params: candidate_id(path:integer), since(query:schema), timeout(query:integer), limit(query:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_chat_history_updates
admin_ui,POST,/api/candidates/{candidate_id}/chat/{message_id}/retry,candidates,Api Chat Retry,session cookie or bearer token + CSRF,"params: candidate_id(path:integer), message_id(path:integer)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_chat_retry
admin_ui,GET,/api/candidates/{candidate_id}/cohort-comparison,candidates,Api Candidate Cohort Comparison,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_cohort_comparison; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,GET,/api/candidates/{candidate_id}/hh,candidates,Api Candidate Hh Summary,session cookie or bearer token,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_hh_summary; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/candidates/{candidate_id}/kanban-status,candidates,Api Candidate Kanban Status,session cookie or bearer token + CSRF,params: candidate_id(path:integer); body: application/json:CandidateKanbanMovePayload,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_candidate_kanban_status; frontend:frontend/app/src/app/routes/app/candidates.tsx
admin_ui,POST,/api/candidates/{candidate_id}/schedule-intro-day,candidates,Api Schedule Intro Day,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_schedule_intro_day; frontend:frontend/app/src/api/services/candidates.ts
admin_ui,POST,/api/candidates/{candidate_id}/schedule-slot,candidates,Api Schedule Slot,session cookie or bearer token + CSRF,params: candidate_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_schedule_slot; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/api/services/dashboard.ts, frontend/app/src/api/services/slots.ts, frontend/app/src/app/routes/app/candidate-new.tsx, frontend/app/src/app/routes/app/incoming.tsx"
admin_ui,GET,/api/cities,other,Api Cities,session cookie or bearer token,none,200: application/json:none,"backend:backend.apps.admin_ui.routers.directory:api_cities; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/app/routes/app/calendar.tsx, frontend/app/src/app/routes/app/candidate-new.tsx, frontend/app/src/app/routes/app/candidates.tsx, frontend/app/src/app/routes/app/cities.tsx"
admin_ui,POST,/api/cities,other,Api Create City,session cookie or bearer token + CSRF,none,201: application/json:none,"backend:backend.apps.admin_ui.routers.directory:api_create_city; frontend:frontend/app/src/api/services/candidates.ts, frontend/app/src/app/routes/app/calendar.tsx, frontend/app/src/app/routes/app/candidate-new.tsx, frontend/app/src/app/routes/app/candidates.tsx, frontend/app/src/app/routes/app/cities.tsx"
admin_ui,DELETE,/api/cities/{city_id},other,Api Delete City,session cookie or bearer token + CSRF,params: city_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.directory:api_delete_city; frontend:frontend/app/src/app/routes/app/cities.tsx, frontend/app/src/app/routes/app/city-edit.tsx"
admin_ui,GET,/api/cities/{city_id},other,Api City Detail,session cookie or bearer token,params: city_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.directory:api_city_detail; frontend:frontend/app/src/app/routes/app/cities.tsx, frontend/app/src/app/routes/app/city-edit.tsx"
admin_ui,PUT,/api/cities/{city_id},other,Api Update City,session cookie or bearer token + CSRF,params: city_id(path:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.directory:api_update_city; frontend:frontend/app/src/app/routes/app/cities.tsx, frontend/app/src/app/routes/app/city-edit.tsx"
admin_ui,GET,/api/cities/{city_id}/hh-vacancies,vacancies,Api City Hh Vacancies,session cookie or bearer token,params: city_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.directory:api_city_hh_vacancies; frontend:frontend/app/src/app/routes/app/city-edit.tsx
admin_ui,DELETE,/api/cities/{city_id}/reminder-policy,other,Api Delete City Reminder Policy,session cookie or bearer token + CSRF,params: city_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.directory:api_delete_city_reminder_policy; frontend:frontend/app/src/app/routes/app/city-edit.tsx
admin_ui,GET,/api/cities/{city_id}/reminder-policy,other,Api Get City Reminder Policy,session cookie or bearer token,params: city_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.directory:api_get_city_reminder_policy; frontend:frontend/app/src/app/routes/app/city-edit.tsx
admin_ui,PUT,/api/cities/{city_id}/reminder-policy,other,Api Upsert City Reminder Policy,session cookie or bearer token + CSRF,params: city_id(path:integer),200: application/json:none,backend:backend.apps.admin_ui.routers.directory:api_upsert_city_reminder_policy; frontend:frontend/app/src/app/routes/app/city-edit.tsx
admin_ui,GET,/api/city_owners,other,Api City Owners,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_city_owners
admin_ui,GET,/api/csrf,other,Api Csrf,session cookie or bearer token,none,200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_csrf
admin_ui,GET,/api/dashboard/calendar,analytics,Api Dashboard Calendar,session cookie or bearer token,"params: date(query:schema), days(query:integer), recruiter(query:schema)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_dashboard_calendar
admin_ui,GET,/api/dashboard/funnel,analytics,Api Dashboard Funnel,session cookie or bearer token,"params: from(query:schema), to(query:schema), city(query:schema), recruiter(query:schema), source(query:schema)",200: application/json:none,backend:backend.apps.admin_ui.routers.api_misc:api_dashboard_funnel
admin_ui,GET,/api/dashboard/incoming,analytics,Api Dashboard Incoming,session cookie or bearer token,params: limit(query:integer),200: application/json:none,"backend:backend.apps.admin_ui.routers.api_misc:api_dashboard_incoming; frontend:frontend/app/src/api/services/dashboard.ts, frontend/app/src/app/routes/app/incoming.tsx"
